Player,year,length,avg_salary,cap,poc,Pos,Age,Tm,G,FG,FGA,FG.,X3P,X3PA,X3P.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,TS.,X3PAr,FTr,USG.,OWS,DWS,OBPM,DBPM
Jrue Holiday,2017,5,25200000,99093000,0.2543065605037692,PG,26,NOP,67,6,13.3,0.454,1.5,4.2,0.356,1.8,2.5,0.708,0.7,3.3,3.9,7.3,1.5,0.7,2.9,15.4,0.532,0.315,0.188,23.5,1.3,2.6,1,0.2
Nikola Mirotić,2017,2,13500000,99093000,0.1362356574127335,PF,25,CHI,70,3.7,8.9,0.413,1.8,5.4,0.342,1.4,1.8,0.773,0.9,4.6,5.5,1.1,0.8,0.8,1.1,10.6,0.546,0.603,0.205,19.8,1.2,2.5,0.2,0.5
Kyle Korver,2017,3,7333333.333333333,99093000,0.07400455464395399,SG,35,TOT,67,3.6,7.7,0.464,2.4,5.4,0.451,0.6,0.6,0.905,0.1,2.7,2.8,1.6,0.5,0.3,1,10.1,0.635,0.697,0.082,15.2,2.3,1.3,0.5,-0.5
Willie Reed,2017,1,1500000,99093000,0.0151372952680815,C,26,MIA,71,2.3,4,0.568,0,0.1,0.25,0.7,1.2,0.557,1.8,2.9,4.7,0.4,0.3,0.7,0.4,5.3,0.578,0.014,0.309,15.3,2.1,1.5,-0.9,0
P.J. Tucker,2017,4,8000000,99093000,0.080732241429768,SF,31,TOT,81,2.5,6,0.413,0.9,2.4,0.357,0.9,1.1,0.774,1.4,4.4,5.8,1.2,1.4,0.2,0.8,6.7,0.516,0.407,0.193,11.2,1.4,2.2,-1.5,1.2
Cristiano Felício,2017,4,8000000,99093000,0.080732241429768,C,24,CHI,66,1.9,3.3,0.579,0,0,NA,0.9,1.4,0.645,1.9,2.8,4.7,0.6,0.4,0.3,0.5,4.8,0.603,0,0.421,12.4,2.1,1.3,-0.6,-0.1
Mike Muscala,2017,2,5000000,99093000,0.050457650893604995,C,25,ATL,70,2.4,4.8,0.504,0.7,1.6,0.418,0.7,0.9,0.766,1.1,2.3,3.4,1.4,0.4,0.6,0.8,6.2,0.596,0.326,0.19,14.8,1.8,1.6,-0.1,1.2
Tony Snell,2017,4,11500000,99093000,0.11605259705529149,SG,25,MIL,80,3.1,6.8,0.455,1.8,4.4,0.406,0.6,0.7,0.81,0.3,2.8,3.1,1.2,0.7,0.2,0.7,8.5,0.603,0.656,0.107,12.1,2.1,1.3,-1,-0.7
Patrick Patterson,2017,3,5466666.666666666,99093000,0.05516703164367479,PF,27,TOR,65,2.4,5.9,0.401,1.4,3.9,0.372,0.7,0.9,0.717,1,3.6,4.5,1.2,0.6,0.4,0.6,6.8,0.542,0.659,0.156,12.5,1.7,1.6,0,0.1
Thabo Sefolosha,2017,2,5250000,99093000,0.052980533438285245,SF,32,ATL,62,2.8,6.4,0.441,0.7,1.9,0.342,0.9,1.2,0.733,0.9,3.5,4.4,1.7,1.5,0.5,0.9,7.2,0.519,0.304,0.19,13.3,0.6,2.7,-2.1,2.5
Zach Randolph,2017,2,12000000,99093000,0.121098362144652,PF,35,MEM,73,5.9,13.2,0.449,0.3,1.3,0.223,1.9,2.6,0.731,2.5,5.7,8.2,1.7,0.5,0.1,1.4,14.1,0.49,0.098,0.2,29.2,0.8,2.4,1,-1.6
Nick Young,2017,1,5200000,99093000,0.0524759569293492,SG,31,LAL,60,4.5,10.6,0.43,2.8,7,0.404,1.3,1.5,0.856,0.4,1.9,2.3,1,0.6,0.2,0.6,13.2,0.588,0.665,0.142,19.5,3,0.2,1.7,-1.8
Aron Baynes,2017,1,4300000,99093000,0.0433935797685003,C,30,DET,75,1.9,3.7,0.513,0,0,NA,1.1,1.3,0.84,1.5,3,4.4,0.4,0.2,0.5,0.7,4.9,0.57,0,0.337,14.1,1.4,1.5,-3.2,0.5
Dante Cunningham,2017,1,2300000,99093000,0.023210519411058297,PF,29,NOP,66,2.6,5.4,0.485,1.1,2.7,0.392,0.2,0.4,0.593,0.8,3.3,4.2,0.6,0.6,0.4,0.4,6.6,0.586,0.504,0.075,10.7,1.4,1.6,-1.9,0.3
Manu Ginóbili,2017,2,2500000,99093000,0.025228825446802498,SG,39,SAS,69,2.5,6.4,0.39,1.3,3.3,0.392,1.2,1.6,0.804,0.4,1.9,2.3,2.7,1.2,0.2,1.4,7.5,0.532,0.517,0.244,20.4,0.6,2.4,-0.7,2.1
Bojan Bogdanović,2017,2,10500000,99093000,0.10596106687657049,SF,27,TOT,81,4.6,10.4,0.445,1.8,4.8,0.367,2.7,3,0.893,0.5,3,3.4,1.4,0.4,0.1,1.6,13.7,0.585,0.464,0.288,22.4,2,0.9,-0.1,-2.1
Shaun Livingston,2017,3,8000000,99093000,0.080732241429768,PG,31,GSW,76,2.3,4.2,0.547,0,0,0.333,0.6,0.8,0.7,0.4,1.6,2,1.8,0.5,0.3,0.8,5.1,0.568,0.009,0.19,13,1.1,1.6,-3,0.5
Justin Holiday,2017,2,4500000,99093000,0.045411885804244496,SG,27,NYK,82,2.8,6.6,0.433,1.2,3.3,0.355,0.8,1,0.825,0.3,2.4,2.7,1.2,0.8,0.4,0.8,7.7,0.549,0.507,0.149,16.9,1.3,1.2,-0.5,0.2
Dirk Nowitzki,2017,2,5000000,99093000,0.050457650893604995,PF,38,DAL,54,5.5,12.6,0.437,1.5,3.9,0.378,1.8,2.1,0.875,0.4,6.1,6.5,1.5,0.6,0.7,0.9,14.2,0.529,0.308,0.165,25.8,0.6,1.9,0.8,0.1
Ian Clark,2017,1,1600000,99093000,0.0161464482859536,SG,25,GSW,77,2.7,5.6,0.487,0.8,2.1,0.374,0.6,0.8,0.759,0.3,1.3,1.6,1.2,0.5,0.1,0.7,6.8,0.575,0.376,0.134,19.5,1,1.3,-1,-0.5
